04 0.2 0xCCCCCC 
05 0.2 0xCCCCCC 
06 0.2 0xCCCCCC 
07 0.2 0x000000 0.2
08 0.2 0x666666 0.2
09 0.1 0x999999 0.1
10 0.1 0x999999 0.1
11 0.1 0x999999 0.1
12 0.1 0x999999 0.1
13 0.1 0x999999 0.1
14 0.1 0x999999 0.1
15 0.1 0x999999 0.1
16 0.2 0x666666 0.2
17 0.2 0x000000 0.2
18 0.3 0x000000 0.3
19 0.3 0x000000 0.3
20 0.2 0x000000 0.2
21 0.2 0x000000 0.2
22 0.2 0x666666 0.2
23 0.2 0x666666 0.2
