04 0.1 0xCCCCCC 
05 0.1 0xCCCCCC 
06 0.2 0xCCCCCC 
07 0.2 0x000000 0.2
08 0.2 0x000000 0.2
09 0.1 0x666666 0.1
10 0.1 0x999999 0.1
11 0.0 0x999999 0.0
12 0.0 0x999999 0.0
13 0.0 0x999999 0.0
14 0.0 0x999999 0.0
15 0.1 0x999999 0.1
16 0.1 0x999999 0.1
17 0.2 0x666666 0.2
18 0.2 0x000000 0.2
19 0.2 0x000000 0.2
20 0.2 0x000000 0.2
21 0.2 0x000000 0.2
22 0.2 0x666666 0.2
23 0.2 0x000000 0.2
