18 54.1 0xCCCCCC 
19 59.3 0xCCCCCC 
20 39.7 0xCCCCCC 
21 33.0 0x666666 
22 29.8 0x999999 
23 28.0 0x999999 
00 27.6 0x999999 
01 27.0 0x999999 
02 26.5 0x999999 
03 26.0 0x999999 
04 26.1 0x999999 
05 27.0 0x999999 
06 28.4 0x999999 
07 33.7 0x666666 
08 43.7 0x000000 43.7
09 35.1 0x666666 
10 31.0 0x999999 
11 28.7 0x999999 
12 27.8 0x999999 
13 26.9 0x999999 
14 26.8 0x999999 
15 27.8 0x999999 
16 29.4 0x999999 
17 33.5 0x666666 
18 39.4 0x666666 
19 39.8 0x666666 
20 32.3 0x666666 
21 28.8 0x999999 
22 26.0 0x999999 
23 24.9 0x999999 24.9
